ID,class
0,0
1,1
2,1
3,1
4,1
5,0
6,0
7,2
8,0
9,0
10,0
11,0
12,0
13,1
14,0
15,0
16,1
17,0
18,0
19,0
20,0
21,0
22,1
23,0
24,2
25,0
26,0
27,0
28,0
29,2
30,1
31,0
32,0
33,0
34,0
35,2
36,0
37,0
38,0
39,2
40,1
41,0
42,1
43,0
44,0
45,0
46,2
47,2
48,1
49,0
50,1
51,1
52,0
53,0
54,0
55,0
56,1
57,2
58,0
59,0
60,0
61,0
62,2
63,1
64,0
65,0
66,0
67,0
68,0
69,0
70,1
71,0
72,2
73,0
74,0
75,0
76,1
77,0
78,0
79,1
80,1
81,0
82,1
83,1
84,0
85,2
86,0
87,1
88,0
89,1
90,0
91,0
92,0
93,1
94,1
95,2
96,1
97,1
98,1
99,0
100,0
101,0
102,0
103,2
104,0
105,1
106,0
107,0
108,2
109,0
110,2
111,0
112,0
113,1
114,0
115,0
116,0
117,0
118,0
119,2
120,0
121,0
122,0
123,0
124,1
125,2
126,0
127,0
128,0
129,0
130,0
131,1
132,0
133,0
134,2
135,1
136,0
137,0
138,0
139,2
140,1
141,0
142,2
143,0
144,2
145,0
146,0
147,2
148,0
149,2
150,0
151,1
152,0
153,0
154,1
155,1
156,1
157,0
158,2
159,0
160,0
161,0
162,0
163,1
164,0
165,0
166,1
167,0
168,0
169,0
170,0
171,0
172,1
173,0
174,0
175,2
176,1
177,0
178,0
179,0
180,1
181,0
182,0
183,2
184,0
185,2
186,0
187,0
188,2
189,2
190,0
191,0
192,2
193,2
194,0
195,0
196,2
197,0
198,0
199,0
200,2
201,0
202,0
203,2
204,0
205,0
206,0
207,1
208,0
209,0
210,0
211,1
212,2
213,0
214,0
215,0
216,1
217,0
218,0
219,0
220,2
221,1
222,1
223,1
224,0
225,0
226,2
227,2
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,2
238,2
239,2
240,1
241,0
242,0
243,0
244,1
245,0
246,1
247,0
248,1
249,0
250,0
251,0
252,0
253,0
254,1
255,0
256,1
257,0
258,0
259,2
260,0
261,0
262,0
263,2
264,0
265,0
266,1
267,0
268,0
269,2
270,1
271,0
272,0
273,0
274,2
275,1
276,0
277,2
278,0
279,0
280,0
281,1
282,1
283,0
284,0
285,0
286,0
287,0
288,1
289,1
290,0
291,1
292,1
293,0
294,0
295,2
296,0
297,0
298,1
299,2
300,1
301,0
302,0
303,2
304,2
305,0
306,0
307,1
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,1
318,0
319,1
320,0
321,2
322,2
323,0
324,1
325,2
326,2
327,0
328,2
329,2
330,2
331,0
332,0
333,0
334,0
335,0
336,2
337,2
338,2
339,0
340,0
341,1
342,0
343,0
344,0
345,0
346,0
347,2
348,0
349,1
350,0
351,1
352,0
353,0
354,2
355,2
356,0
357,0
358,0
359,0
360,1
361,1
362,0
363,0
364,0
365,2
366,0
367,2
368,0
369,0
370,0
371,2
372,2
373,0
374,0
375,2
376,0
377,0
378,0
379,2
380,2
381,1
382,1
383,2
384,1
385,1
386,0
387,0
388,0
389,0
390,0
391,2
392,2
393,0
394,0
395,1
396,0
397,2
398,2
399,1
400,2
401,2
402,0
403,0
404,0
405,0
406,2
407,0
408,0
409,2
410,1
411,0
412,0
413,0
414,1
415,2
416,0
417,0
418,0
419,2
420,0
421,2
422,0
423,0
424,0
425,1
426,0
427,2
428,1
429,2
430,2
431,2
432,0
433,0
434,0
435,0
436,0
437,0
438,2
439,1
440,0
441,0
442,0
443,0
444,1
445,0
446,1
447,0
448,0
449,1
450,1
451,0
452,2
453,2
454,0
455,0
456,0
457,0
458,0
459,0
460,2
461,1
462,1
463,0
464,0
465,0
466,1
467,0
468,2
469,2
470,0
471,0
472,1
473,0
474,1
475,2
476,2
477,2
478,1
479,1
480,1
481,2
482,1
483,0
484,1
485,0
486,0
487,2
488,0
489,0
490,1
491,1
492,0
493,1
494,2
495,2
496,1
497,2
498,1
499,0
500,1
501,2
502,0
503,2
504,0
505,0
506,1
507,1
508,1
509,0
510,2
511,0
512,1
513,0
514,1
515,0
516,2
517,0
518,2
519,0
520,2
521,1
522,2
523,0
524,0
525,0
526,1
527,0
528,0
529,0
530,0
531,0
532,1
533,0
534,0
535,0
536,1
537,0
538,0
539,0
540,0
541,2
542,0
543,2
544,1
545,2
546,2
547,0
548,0
549,2
550,2
551,0
552,0
553,0
554,1
555,0
556,1
557,2
558,1
559,0
560,0
561,0
562,0
563,0
564,2
565,0
566,2
567,0
568,0
569,0
570,0
571,0
572,2
573,2
574,0
575,0
576,1
577,1
578,1
579,0
580,0
581,0
582,2
583,0
584,1
585,2
586,0
587,2
588,0
589,0
590,1
591,0
592,1
593,0
594,1
595,0
596,0
597,2
598,2
599,0
600,2
601,0
602,0
603,0
604,2
605,0
606,0
607,2
608,0
609,1
610,2
611,2
612,1
613,2
614,0
615,0
616,2
617,0
618,1
619,1
620,2
621,0
622,1
623,1
624,0
625,2
626,0
627,1
628,0
629,1
630,1
631,0
632,0
633,0
634,0
635,2
636,0
637,1
638,0
639,2
640,0
641,0
642,0
643,2
644,0
645,2
646,1
647,0
648,2
649,1
650,1
651,0
652,0
653,1
654,0
655,2
656,0
657,0
658,0
659,0
660,0
661,2
662,2
663,0
664,0
665,1
666,0
667,1
668,0
669,0
670,0
671,0
672,1
673,2
674,0
675,1
676,0
677,1
678,0
679,1
680,0
681,2
682,0
683,0
684,0
685,2
686,1
687,0
688,0
689,0
690,0
691,2
692,2
693,0
694,0
695,2
696,2
697,2
698,1
699,2
700,0
701,1
702,0
703,0
704,1
705,0
706,2
707,0
708,0
709,1
710,1
711,0
712,0
713,1
714,0
715,0
716,0
717,0
718,1
719,2
720,0
721,0
722,0
723,0
724,2
725,0
726,0
727,0
728,0
729,1
730,0
731,0
732,0
733,0
734,0
735,0
736,2
737,2
738,0
739,0
740,1
741,0
742,0
743,0
744,2
745,0
746,2
747,1
748,2
749,2
750,0
751,0
752,1
753,0
754,2
755,0
756,1
757,0
758,2
759,1
760,0
761,0
762,0
763,0
764,0
765,1
766,0
767,0
768,0
769,0
770,0
771,0
772,2
773,0
774,1
775,0
776,0
777,2
778,0
779,0
780,0
781,0
782,1
783,1
784,0
785,0
786,1
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,2
797,0
798,0
799,0
800,2
801,1
802,1
803,2
804,2
805,0
806,1
807,0
808,2
809,0
810,2
811,0
812,1
813,0
814,0
815,0
816,0
817,1
818,1
819,0
820,0
821,0
822,1
823,1
824,1
825,0
826,1
827,0
828,0
829,2
830,0
831,2
832,0
833,1
834,2
835,2
836,0
837,1
838,2
839,2
840,0
841,0
842,1
843,0
844,2
845,2
846,0
847,2
848,0
849,0
850,1
851,0
852,0
853,0
854,2
855,0
856,1
857,2
858,0
859,1
860,1
861,2
862,0
863,2
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,1
873,0
874,0
875,0
876,0
877,1
878,2
879,0
880,1
881,0
882,2
883,1
884,1
885,0
886,1
887,0
888,0
889,0
890,1
891,1
892,2
893,0
894,1
895,0
896,0
897,1
898,2
899,1
900,0
901,2
902,2
903,0
904,0
905,2
906,0
907,0
908,0
909,1
910,0
911,0
912,0
913,0
914,0
915,0
916,1
917,0
918,0
919,0
920,1
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,2
929,1
930,1
931,1
932,1
933,0
934,1
935,2
936,2
937,1
938,0
939,0
940,0
941,1
942,0
943,0
944,1
945,1
946,2
947,0
948,2
949,0
950,1
951,0
952,0
953,2
954,0
955,0
956,2
957,1
958,1
959,0
960,0
961,1
962,1
963,0
964,1
965,1
966,0
967,0
968,0
969,0
970,0
971,0
972,1
973,0
974,1
975,0
976,2
977,2
978,0
979,2
980,1
981,0
982,1
983,2
984,2
985,1
986,1
987,0
988,2
989,0
990,1
991,2
992,2
993,0
994,0
995,1
996,0
997,1
998,2
999,0
1000,1
1001,2
1002,2
1003,0
1004,1
1005,0
1006,0
1007,1
1008,0
1009,0
1010,0
1011,0
1012,1
1013,1
1014,0
1015,1
1016,1
1017,1
1018,0
1019,0
1020,0
1021,0
1022,1
1023,0
1024,2
1025,1
1026,1
1027,1
1028,2
1029,0
1030,0
1031,0
1032,2
1033,1
1034,1
1035,2
1036,0
1037,1
1038,0
1039,0
1040,1
1041,0
1042,0
1043,2
1044,1
1045,0
1046,2
1047,1
1048,0
1049,2
1050,1
1051,2
1052,0
1053,1
1054,0
1055,0
1056,0
1057,0
1058,0
1059,2
1060,0
